libsecsdk.so base address:0x70225dd000
0x70225e8d10[libsecsdk.so@0xbd10]		sub	sp, sp, #32	SP=0x708b79f580
0x70225e8d14[libsecsdk.so@0xbd14]		add	x1, sp, #32	SP=0x708b79f560
0x70225e8d18[libsecsdk.so@0xbd18]		str	x30, [sp]	LR=0x2a SP=0x708b79f560
0x70225e8d1c[libsecsdk.so@0xbd1c]		str	x2, [x1, #-8]!	X2=0x15 X1=0x708b79f580
0x70225e8d20[libsecsdk.so@0xbd20]		bl	#12012	SP=0x708b79f560
0x70225ebc0c[libsecsdk.so@0xec0c]		sub	sp, sp, #112	SP=0x708b79f560
0x70225ebc10[libsecsdk.so@0xec10]		stp	d8, d9, [sp, #88]	SP=0x708b79f4f0
0x70225ebc14[libsecsdk.so@0xec14]		stp	x19, x20, [sp]	X19=0x0 X20=0x0 SP=0x708b79f4f0
0x70225ebc18[libsecsdk.so@0xec18]		stp	x25, x26, [sp, #48]	X25=0x0 X26=0x0 SP=0x708b79f4f0
0x70225ebc1c[libsecsdk.so@0xec1c]		stp	x27, x28, [sp, #64]	X27=0x0 X28=0x0 SP=0x708b79f4f0
0x70225ebc20[libsecsdk.so@0xec20]		stp	x21, x22, [sp, #16]	X21=0x0 X22=0x0 SP=0x708b79f4f0
0x70225ebc24[libsecsdk.so@0xec24]		stp	x23, x24, [sp, #32]	X23=0x0 X24=0x0 SP=0x708b79f4f0
0x70225ebc28[libsecsdk.so@0xec28]		str	x30, [sp, #80]	LR=0x70225e8d24 SP=0x708b79f4f0
0x70225ebc2c[libsecsdk.so@0xec2c]		mov	x28, x1	X1=0x708b79f578
0x70225ebc30[libsecsdk.so@0xec30]		mov	x19, x0	X0=0x708a819500
0x70225ebc34[libsecsdk.so@0xec34]		ldr	x2, [x0]	X0=0x708a819500
0x70225ebc38[libsecsdk.so@0xec38]		ldr	x1, [x1]	X1=0x708b79f578
0x70225ebc3c[libsecsdk.so@0xec3c]		ldr	x2, [x2, #1368]	X2=0x70967d16a0
0x70225ebc40[libsecsdk.so@0xec40]		blr	x2	X2=0x70965d2f74 SP=0x708b79f4f0
0x70225ebc44[libsecsdk.so@0xec44]		cmp	w0, #1	W0=0x4
0x70225ebc48[libsecsdk.so@0xec48]		mov	w25, w0	W0=0x4
0x70225ebc4c[libsecsdk.so@0xec4c]		b.le	#708	
0x70225ebc50[libsecsdk.so@0xec50]		mov	x0, #8	
0x70225ebc54[libsecsdk.so@0xec54]		bl	#106700	SP=0x708b79f4f0
0x7022605d20[libsecsdk.so@0x28d20]		stp	x29, x30, [sp, #-32]!	FP=0x708b79f600 LR=0x70225ebc58 SP=0x708b79f4f0
